symbol,start,end
20MICRONS,2013-07-17,2013-09-27
360ONE,2020-06-26,
3IINFOLTD,2009-12-22,2012-09-28
3IINFOLTD,2013-06-21,2013-09-27
3MINDIA,1998-08-01,
63MOONS,2005-12-08,2016-09-30
AADHARHFC,2026-05-30,
AARTIDRUGS,2016-04-01,2016-09-30
AARTIDRUGS,2022-05-04,2026-05-30
AARTIIND,2005-04-20,2019-03-29
AARTIIND,2019-12-27,2022-10-09
AARTIIND,2023-04-04,
AAVAS,2019-03-29,
ABAN,1998-08-01,2018-09-28
ABB,1998-08-01,2019-09-27
ABB,2020-06-26,
ABBOTINDIA,1998-08-01,2003-04-01
ABBOTINDIA,2019-09-27,
ABCAPITAL,2018-04-02,
ABDL,2026-05-30,
ABFRL,2016-04-01,
ABIRLANUVO,1998-08-01,2015-10-19
ABIRLANUVO,2016-09-30,2017-05-26
ABLBL,2026-05-30,
ABREL,1998-08-01,2018-12-28
ABREL,2020-06-26,
ABSLAMC,2022-05-04,2023-04-04
ABSLAMC,2026-05-30,
ACC,1998-08-01,
ACCELYA,2001-04-25,2008-09-10
ACE,2026-05-30,
ACI,2023-04-04,2026-05-30
ACLGATI,2012-09-28,2018-09-28
ACMESOLAR,2026-05-30,
ACUTAAS,2026-05-30,
ADANIENSOL,2016-04-01,
ADANIENT,1998-08-01,2015-05-29
ADANIENT,2016-04-01,2018-04-02
ADANIENT,2022-05-04,
ADANIGREEN,2018-12-28,
ADANIPORTS,2008-04-24,
ADANIPOWER,2010-04-15,2014-09-19
ADANIPOWER,2015-09-28,2022-05-04
ADANIPOWER,2023-04-04,
ADOR,1998-08-01,2011-10-10
ADSL,2011-03-25,2012-04-27
ADVANTA,2009-03-27,2016-04-29
AEGISLOG,2016-04-01,
AEGISVOPAK,2026-05-30,
AETHER,2022-10-09,2026-05-30
AFCONS,2026-05-30,
AFFLE,2019-12-26,
AFTEK,2002-03-29,2011-10-10
AGI,2005-09-26,2018-12-28
AGRODUTCH,2002-09-19,2009-10-22
AHLUCONT,2016-04-01,2018-04-02
AIAENG,2011-10-10,
AIIL,2026-05-30,
AJMERA,2007-01-24,2009-05-11
AJRINFRA,2010-04-08,2016-04-01
AKSHOPTFBR,2001-08-31,2011-10-10
AKZOINDIA,1998-08-01,
ALEMBICLTD,1998-08-01,2011-04-11
ALIVUS,2022-05-04,2022-10-09
ALIVUS,2024-02-26,2026-05-30
ALKEM,2016-09-30,
ALKYLAMINE,2020-06-26,2026-05-30
ALLCARGO,2007-04-04,2023-04-04
ALLCARGO,2024-02-26,2026-05-30
