date,symbol,action,source
2013-07-17,20MICRONS,IN,nse_inclexcl
2013-09-27,20MICRONS,OUT,nse_inclexcl
2020-06-26,360ONE,IN,nse_inclexcl
2023-04-04,360ONE,IN,snapshot_diff
2009-12-22,3IINFOLTD,IN,nse_inclexcl
2012-09-28,3IINFOLTD,OUT,nse_inclexcl
2013-06-21,3IINFOLTD,IN,nse_inclexcl
2013-09-27,3IINFOLTD,OUT,nse_inclexcl
1998-08-01,3MINDIA,IN,nse_inclexcl
2005-12-08,63MOONS,IN,nse_inclexcl
2016-09-30,63MOONS,OUT,nse_inclexcl
2026-05-30,AADHARHFC,IN,snapshot_diff
2016-04-01,AARTIDRUGS,IN,nse_inclexcl
2016-09-30,AARTIDRUGS,OUT,nse_inclexcl
2022-05-04,AARTIDRUGS,IN,snapshot_diff
2026-05-30,AARTIDRUGS,OUT,snapshot_diff
2005-04-20,AARTIIND,IN,nse_inclexcl
2019-03-29,AARTIIND,OUT,nse_inclexcl
2019-12-27,AARTIIND,IN,nse_inclexcl
2022-10-09,AARTIIND,OUT,snapshot_diff
2023-04-04,AARTIIND,IN,snapshot_diff
2019-03-29,AAVAS,IN,nse_inclexcl
1998-08-01,ABAN,IN,nse_inclexcl
2018-09-28,ABAN,OUT,nse_inclexcl
1998-08-01,ABB,IN,nse_inclexcl
2019-09-27,ABB,OUT,nse_inclexcl
2020-06-26,ABB,IN,nse_inclexcl
1998-08-01,ABBOTINDIA,IN,nse_inclexcl
2003-04-01,ABBOTINDIA,OUT,nse_inclexcl
2019-09-27,ABBOTINDIA,IN,nse_inclexcl
2018-04-02,ABCAPITAL,IN,nse_inclexcl
2026-05-30,ABDL,IN,snapshot_diff
2016-04-01,ABFRL,IN,nse_inclexcl
1998-08-01,ABIRLANUVO,IN,nse_inclexcl
2015-10-19,ABIRLANUVO,OUT,nse_inclexcl
2016-09-30,ABIRLANUVO,IN,nse_inclexcl
2017-05-26,ABIRLANUVO,OUT,nse_inclexcl
2026-05-30,ABLBL,IN,snapshot_diff
1998-08-01,ABREL,IN,nse_inclexcl
2018-12-28,ABREL,OUT,nse_inclexcl
2020-06-26,ABREL,IN,nse_inclexcl
2026-05-30,ABREL,IN,snapshot_diff
2022-05-04,ABSLAMC,IN,snapshot_diff
2023-04-04,ABSLAMC,OUT,snapshot_diff
2026-05-30,ABSLAMC,IN,snapshot_diff
1998-08-01,ACC,IN,nse_inclexcl
2001-04-25,ACCELYA,IN,nse_inclexcl
2008-09-10,ACCELYA,OUT,nse_inclexcl
2026-05-30,ACE,IN,snapshot_diff
2023-04-04,ACI,IN,snapshot_diff
2026-05-30,ACI,OUT,snapshot_diff
2012-09-28,ACLGATI,IN,nse_inclexcl
2018-09-28,ACLGATI,OUT,nse_inclexcl
2026-05-30,ACMESOLAR,IN,snapshot_diff
2026-05-30,ACUTAAS,IN,snapshot_diff
2016-04-01,ADANIENSOL,IN,nse_inclexcl
2024-02-26,ADANIENSOL,IN,snapshot_diff
1998-08-01,ADANIENT,IN,nse_inclexcl
2015-05-29,ADANIENT,OUT,nse_inclexcl
2016-04-01,ADANIENT,IN,nse_inclexcl
2018-04-02,ADANIENT,OUT,nse_inclexcl
2022-05-04,ADANIENT,IN,snapshot_diff
2022-05-04,ADANIGAS,OUT,snapshot_diff
2018-12-28,ADANIGREEN,IN,nse_inclexcl
2008-04-24,ADANIPORTS,IN,nse_inclexcl
2010-04-15,ADANIPOWER,IN,nse_inclexcl
2014-09-19,ADANIPOWER,OUT,nse_inclexcl
2015-09-28,ADANIPOWER,IN,nse_inclexcl
2022-05-04,ADANIPOWER,OUT,snapshot_diff
2023-04-04,ADANIPOWER,IN,snapshot_diff
2024-02-26,ADANITRANS,OUT,snapshot_diff
1998-08-01,ADOR,IN,nse_inclexcl
2011-10-10,ADOR,OUT,nse_inclexcl
2011-03-25,ADSL,IN,nse_inclexcl
2012-04-27,ADSL,OUT,nse_inclexcl
2009-03-27,ADVANTA,IN,nse_inclexcl
2016-04-29,ADVANTA,OUT,nse_inclexcl
2022-10-09,ADVENZYMES,OUT,snapshot_diff
2026-05-30,AEGISCHEM,OUT,snapshot_diff
2016-04-01,AEGISLOG,IN,nse_inclexcl
2026-05-30,AEGISLOG,IN,snapshot_diff
2026-05-30,AEGISVOPAK,IN,snapshot_diff
2022-10-09,AETHER,IN,snapshot_diff
2026-05-30,AETHER,OUT,snapshot_diff
2026-05-30,AFCONS,IN,snapshot_diff
2019-12-26,AFFLE,IN,nse_inclexcl
2002-03-29,AFTEK,IN,nse_inclexcl
2011-10-10,AFTEK,OUT,nse_inclexcl
2005-09-26,AGI,IN,nse_inclexcl
2018-12-28,AGI,OUT,nse_inclexcl
2002-09-19,AGRODUTCH,IN,nse_inclexcl
2009-10-22,AGRODUTCH,OUT,nse_inclexcl
2016-04-01,AHLUCONT,IN,nse_inclexcl
2018-04-02,AHLUCONT,OUT,nse_inclexcl
2011-10-10,AIAENG,IN,nse_inclexcl
2026-05-30,AIIL,IN,snapshot_diff
2007-01-24,AJMERA,IN,nse_inclexcl
2009-05-11,AJMERA,OUT,nse_inclexcl
2010-04-08,AJRINFRA,IN,nse_inclexcl
2016-04-01,AJRINFRA,OUT,nse_inclexcl
2001-08-31,AKSHOPTFBR,IN,nse_inclexcl
2011-10-10,AKSHOPTFBR,OUT,nse_inclexcl
1998-08-01,AKZOINDIA,IN,nse_inclexcl
2022-05-04,AKZOINDIA,OUT,snapshot_diff
1998-08-01,ALEMBICLTD,IN,nse_inclexcl
2011-04-11,ALEMBICLTD,OUT,nse_inclexcl
2016-09-30,ALKEM,IN,nse_inclexcl
2020-06-26,ALKYLAMINE,IN,nse_inclexcl
2026-05-30,ALKYLAMINE,OUT,snapshot_diff
2007-04-04,ALLCARGO,IN,nse_inclexcl
2023-04-04,ALLCARGO,OUT,snapshot_diff
2024-02-26,ALLCARGO,IN,snapshot_diff
2026-05-30,ALLCARGO,OUT,snapshot_diff
2002-07-09,ALOKINDS,IN,nse_inclexcl
2017-03-31,ALOKINDS,OUT,nse_inclexcl
2022-05-04,ALOKINDS,IN,snapshot_diff
2023-04-04,ALOKINDS,OUT,snapshot_diff
2024-02-26,ALOKINDS,IN,snapshot_diff
2026-05-30,ALOKINDS,OUT,snapshot_diff
2024-02-26,AMARAJABAT,OUT,snapshot_diff
1998-08-01,AMBALALSA,IN,nse_inclexcl
2002-03-29,AMBALALSA,OUT,nse_inclexcl
2019-09-27,AMBER,IN,nse_inclexcl
1998-08-01,AMBUJACEM,IN,nse_inclexcl
1998-08-01,AMJLAND,IN,nse_inclexcl
2007-09-24,AMJLAND,OUT,nse_inclexcl
2026-05-30,ANANDRATHI,IN,snapshot_diff
2008-02-15,ANANTRAJ,IN,nse_inclexcl
2017-09-29,ANANTRAJ,OUT,nse_inclexcl
2026-05-30,ANANTRAJ,IN,snapshot_diff
2016-04-01,ANDHRAPAP,IN,nse_inclexcl
2017-03-31,ANDHRAPAP,OUT,nse_inclexcl
2022-05-04,ANGELONE,IN,snapshot_diff
2006-09-13,ANSALAPI,IN,nse_inclexcl
2015-09-28,ANSALAPI,OUT,nse_inclexcl
1998-08-01,ANSALHSG,IN,nse_inclexcl
1999-02-03,ANSALHSG,OUT,nse_inclexcl
2026-05-30,ANTHEM,IN,snapshot_diff
2022-05-04,ANURAS,IN,snapshot_diff
2014-09-19,APARINDS,IN,nse_inclexcl
2018-04-02,APARINDS,OUT,nse_inclexcl
2023-04-04,APARINDS,IN,snapshot_diff
2016-09-30,APLAPOLLO,IN,nse_inclexcl
2014-09-19,APLLTD,IN,nse_inclexcl
2026-05-30,APLLTD,OUT,snapshot_diff
1998-08-01,APOLLOHOSP,IN,nse_inclexcl
1998-08-01,APOLLOTYRE,IN,nse_inclexcl
1998-08-01,APPLEIND,IN,nse_inclexcl
2001-12-07,APPLEIND,OUT,nse_inclexcl
2003-05-02,APTECHT,IN,nse_inclexcl
2014-09-19,APTECHT,OUT,nse_inclexcl
2022-05-04,APTUS,IN,snapshot_diff
2000-05-24,AQYLON,IN,nse_inclexcl
2007-10-25,AQYLON,OUT,nse_inclexcl
1999-09-08,ARCHIES,IN,nse_inclexcl
2008-09-10,ARCHIES,OUT,nse_inclexcl
1999-05-26,ARE&M,IN,nse_inclexcl
2024-02-26,ARE&M,IN,snapshot_diff
2012-04-27,ARSHIYA,IN,nse_inclexcl
2013-09-27,ARSHIYA,OUT,nse_inclexcl
1998-08-01,ARVIND,IN,nse_inclexcl
2015-02-02,ARVIND,OUT,nse_inclexcl
2015-12-14,ARVIND,IN,nse_inclexcl
2018-06-29,ARVIND,OUT,nse_inclexcl
2019-09-27,ARVINDFASN,IN,nse_inclexcl
2022-05-04,ARVINDFASN,OUT,snapshot_diff
2002-09-19,ASAHIINDIA,IN,nse_inclexcl
2016-04-01,ASAHIINDIA,OUT,nse_inclexcl
2017-01-23,ASAHIINDIA,IN,nse_inclexcl
2017-09-29,ASAHIINDIA,OUT,nse_inclexcl
2018-04-02,ASAHIINDIA,IN,nse_inclexcl
2018-09-28,ASAHIINDIA,OUT,nse_inclexcl
2019-12-27,ASAHIINDIA,IN,nse_inclexcl
2020-09-14,ASAHIINDIA,OUT,nse_inclexcl
2016-04-01,ASHIANA,IN,nse_inclexcl
2016-09-30,ASHIANA,OUT,nse_inclexcl
1999-05-26,ASHIMASYN,IN,nse_inclexcl
2005-09-26,ASHIMASYN,OUT,nse_inclexcl
2014-09-19,ASHOKA,IN,nse_inclexcl
2022-05-04,ASHOKA,OUT,snapshot_diff
1998-08-01,ASHOKLEY,IN,nse_inclexcl
1998-08-01,ASIANHOTNR,IN,nse_inclexcl
2010-02-24,ASIANHOTNR,OUT,nse_inclexcl
1998-08-01,ASIANPAINT,IN,nse_inclexcl
1998-08-01,ASSAMCO,IN,nse_inclexcl
2002-07-09,ASSAMCO,OUT,nse_inclexcl
2018-06-29,ASTERDM,IN,nse_inclexcl
2014-09-19,ASTRAL,IN,nse_inclexcl
1998-08-01,ASTRAZEN,IN,nse_inclexcl
2018-04-02,ASTRAZEN,OUT,nse_inclexcl
2019-03-29,ASTRAZEN,IN,nse_inclexcl
2023-04-04,ASTRAZEN,OUT,snapshot_diff
1998-08-01,ATCOM,IN,nse_inclexcl
2004-12-10,ATCOM,OUT,nse_inclexcl
2019-09-27,ATGL,IN,nse_inclexcl
2022-05-04,ATGL,IN,snapshot_diff
2026-05-30,ATHERENERG,IN,snapshot_diff
1998-08-01,ATLASCYCLE,IN,nse_inclexcl
2007-04-04,ATLASCYCLE,OUT,nse_inclexcl
1998-08-01,ATUL,IN,nse_inclexcl
2017-11-13,AUBANK,IN,nse_inclexcl
1999-03-17,AUROPHARMA,IN,nse_inclexcl
1998-08-01,AUTOAXLES,IN,nse_inclexcl
2002-09-19,AUTOAXLES,OUT,nse_inclexcl
2004-03-15,AUTOAXLES,IN,nse_inclexcl
2016-04-01,AUTOAXLES,OUT,nse_inclexcl
1998-08-01,AUTOIND,IN,nse_inclexcl
1999-05-26,AUTOIND,OUT,nse_inclexcl
2012-09-28,AUTOIND,IN,nse_inclexcl
2013-09-27,AUTOIND,OUT,nse_inclexcl
2016-04-01,AVANTIFEED,IN,nse_inclexcl
2026-05-30,AVANTIFEED,OUT,snapshot_diff
2022-10-09,AWL,IN,snapshot_diff
2000-09-03,AXISBANK,IN,nse_inclexcl
2002-09-19,AXISCADES,IN,nse_inclexcl
2004-12-10,AXISCADES,OUT,nse_inclexcl
2001-12-07,AZTECSOFT,IN,nse_inclexcl
2009-06-23,AZTECSOFT,OUT,nse_inclexcl
2002-04-23,BAFNAPH,IN,nse_inclexcl
2011-03-25,BAFNAPH,OUT,nse_inclexcl
2014-09-19,BAFNAPH,IN,nse_inclexcl
1998-08-01,BAJAJ-AUTO,IN,nse_inclexcl
2008-03-14,BAJAJ-AUTO,OUT,nse_inclexcl
2008-09-10,BAJAJ-AUTO,IN,nse_inclexcl
2014-03-28,BAJAJCON,IN,nse_inclexcl
2022-05-04,BAJAJCON,OUT,snapshot_diff
2011-03-25,BAJAJELEC,IN,nse_inclexcl
2024-02-26,BAJAJELEC,OUT,snapshot_diff
2008-10-31,BAJAJFINSV,IN,nse_inclexcl
2026-05-30,BAJAJHFL,IN,snapshot_diff
1998-08-01,BAJAJHIND,IN,nse_inclexcl
2002-04-23,BAJAJHIND,OUT,nse_inclexcl
2003-09-29,BAJAJHIND,IN,nse_inclexcl
2018-09-28,BAJAJHIND,OUT,nse_inclexcl
2008-09-10,BAJAJHLDNG,IN,nse_inclexcl
1998-08-01,BAJFINANCE,IN,nse_inclexcl
2001-12-07,BALAJITELE,IN,nse_inclexcl
2012-04-27,BALAJITELE,OUT,nse_inclexcl
2022-05-04,BALAMINES,IN,snapshot_diff
2026-05-30,BALAMINES,OUT,snapshot_diff
2012-09-28,BALKRISIND,IN,nse_inclexcl
2015-03-24,BALKRISIND,OUT,nse_inclexcl
2015-09-28,BALKRISIND,IN,nse_inclexcl
2002-07-09,BALMLAWRIE,IN,nse_inclexcl
2022-05-04,BALMLAWRIE,OUT,snapshot_diff
1998-08-01,BALRAMCHIN,IN,nse_inclexcl
1998-08-01,BANARISUG,IN,nse_inclexcl
2002-09-19,BANARISUG,OUT,nse_inclexcl
2003-04-01,BANARISUG,IN,nse_inclexcl
2013-09-27,BANARISUG,OUT,nse_inclexcl
2010-04-08,BANCOINDIA,IN,nse_inclexcl
2013-04-01,BANCOINDIA,OUT,nse_inclexcl
2018-09-28,BANDHANBNK,IN,nse_inclexcl
1998-08-01,BANKBARODA,IN,nse_inclexcl
1998-08-01,BANKINDIA,IN,nse_inclexcl
1998-08-01,BASF,IN,nse_inclexcl
2024-02-26,BASF,OUT,snapshot_diff
1998-08-01,BATAINDIA,IN,nse_inclexcl
1998-08-01,BAYERCROP,IN,nse_inclexcl
2003-04-07,BAYERCROP,OUT,nse_inclexcl
2019-09-27,BAYERCROP,IN,nse_inclexcl
1998-08-01,BBL,IN,nse_inclexcl
2000-09-03,BBL,OUT,nse_inclexcl
1998-08-01,BBOX,IN,nse_inclexcl
2011-03-25,BBOX,OUT,nse_inclexcl
1998-08-01,BBTC,IN,nse_inclexcl
2000-09-03,BBTC,OUT,nse_inclexcl
2012-09-28,BBTC,IN,nse_inclexcl
2022-05-04,BCG,IN,snapshot_diff
2026-05-30,BCG,OUT,snapshot_diff
2018-08-08,BDL,IN,nse_inclexcl
1998-08-01,BEL,IN,nse_inclexcl
2026-05-30,BELRISE,IN,snapshot_diff
1998-08-01,BEML,IN,nse_inclexcl
2022-05-04,BEML,OUT,snapshot_diff
2023-04-04,BEML,IN,snapshot_diff
2005-09-26,BEPL,IN,nse_inclexcl
2013-04-01,BEPL,OUT,nse_inclexcl
1998-08-01,BERGEPAINT,IN,nse_inclexcl
2011-10-10,BFUTILITIE,IN,nse_inclexcl
2018-09-28,BFUTILITIE,OUT,nse_inclexcl
2011-03-25,BGRENERGY,IN,nse_inclexcl
2015-09-28,BGRENERGY,OUT,nse_inclexcl
2016-04-01,BGRENERGY,IN,nse_inclexcl
2018-09-28,BGRENERGY,OUT,nse_inclexcl
2011-10-10,BHARATFIN,IN,nse_inclexcl
2018-12-28,BHARATFIN,OUT,nse_inclexcl
1998-08-01,BHARATFORG,IN,nse_inclexcl
2020-06-26,BHARATRAS,IN,nse_inclexcl
2022-05-04,BHARATRAS,OUT,snapshot_diff
2022-10-09,BHARATRAS,IN,snapshot_diff
2023-04-04,BHARATRAS,OUT,snapshot_diff
2003-03-17,BHARTIARTL,IN,nse_inclexcl
2026-05-30,BHARTIHEXA,IN,snapshot_diff
1998-08-01,BHEL,IN,nse_inclexcl
1998-08-01,BHUPENIND,IN,nse_inclexcl
1999-05-26,BHUPENIND,OUT,nse_inclexcl
2023-04-04,BIKAJI,IN,snapshot_diff
1998-08-01,BILVYAPAR,IN,nse_inclexcl
2002-09-19,BILVYAPAR,OUT,nse_inclexcl
2004-12-10,BIOCON,IN,nse_inclexcl
1999-09-08,BIRLACABLE,IN,nse_inclexcl
2007-09-24,BIRLACABLE,OUT,nse_inclexcl
1998-08-01,BIRLACORPN,IN,nse_inclexcl
2026-05-30,BIRLACORPN,OUT,snapshot_diff
1998-08-01,BIRLANU,IN,nse_inclexcl
2002-04-23,BIRLANU,OUT,nse_inclexcl
1998-08-01,BIRLAPOWER,IN,nse_inclexcl
2002-03-29,BIRLAPOWER,OUT,nse_inclexcl
2016-04-01,BLISSGVS,IN,nse_inclexcl
2022-05-04,BLISSGVS,OUT,snapshot_diff
2006-08-02,BLKASHYAP,IN,nse_inclexcl
